Brandlist,
1,C2
2,C2 - Không xác định   
3,C2 - Vị chanh   
4,C2 - Vị táo   
34,C2 - Vị đào  
5,C2 - Olong Hoa hồng   
6,C2 - Olong Chanh   
29,C2 – Hồng Trà
30,C2 – Hồng Trà Đào
33,C2 – Hồng Trà Vải
35,C2 – Freeze Hương chanh tuyết bạc hà
37,C2 – Freeze Hương dâu anh đào
38,C2 – Dưa lưới
7,OLong Tea Plus
8,OLong Tea Plus   
9,OLong Tea Plus vị chanh
10,Trà xanh matcha Tea Plus   
11,Không Độ
12,Không Độ - Không xác định   
13,Không Độ - Vị chanh   
14,Không Độ - Bí đao   
15,Trà Cozy đóng chai
16,Trà Cozy Olong Xoài
17,Trà Cozy Vải
18,Trà Cozy Đào Sả
19,Dr. Thanh
20,Dr. Thanh - Không xác định   
21,Dr. Thanh - Có đường   
22,Dr. Thanh - Không đường   
23,Trà Tea Go
24,Trà Tea Go – Vị Đào
25,Trà Tea Go – Vị Chanh
26,Trà sữa ít đường Vinamilk Happy Milktea
261,Trà sữa ít đường Vinamilk Happy Milktea
27,Trà lá vối Seventy
271,Trà lá vối Seventy
2000,Trà thảo mộc VietFuji
3000,Trà sữa không độ/ Trà sữa Macchiato
3001,Trà sữa không độ/ Trà sữa Macchiato
5000,Trà TH True Tea
5001,TH True Tea – Trà Oolong Tự Nhiên
5002,TH True Tea – Trà xanh vị chanh Tự Nhiên
6000,Trà mật ong Boncha
6001,Trà mật ong Boncha
6002,Trà mật ong Boncha vị chanh
7000,Trà Jokky
7001,Trà Jokky chanh sả
7002,Trà Jokky vị Đào
7003,Trà Jokky sâm
8000,Trà sữa C2
9000,Búp non 365
9001,Búp non 365 hương đào
9002,Búp non 365 chanh sả
9003,Búp non 365 mật ong
9004,Búp non 365 mãng cầu
