Code câu hỏi,,Câu hỏi,Câu trả lời,Code câu trả lời
Wave,,Năm thực hiện PV,,
Region,,Khu vực thực hiện PV,,
D2,,Giới tính,,
D3,,Độ tuổi,,
D4,,Thu nhập hộ gia đình,,
S2,,Những loại sản phẩm nào bạn đã uống trong 4 tuần qua?,,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],,
,,,Hằng ngày,1
,,,Once per day ,
,,,4-6 lần mỗi tuần,2
,,,4-6 times/week,
,,,2-3 lần mỗi tuần,3
,,,2-3 times/week,
,,,Một lần một tuần,4
,,,Once per week,
,,,2-3 lần một tháng,5
,,,2-3 times/month,
,,,Mỗi tháng một lần,6
,,,Once per month,
Q1.TOM,TOM,"Khi nhắc đến trà uống liền (đóng chai/lon/hộp), những nhãn hiệu nào mà bạn biết đến? (SA) - NH đầu tiên",,
Q1.TotalSpontaneous,Spontaneous,"Khi nhắc đến trà uống liền (đóng chai/lon/hộp), những nhãn hiệu nào mà bạn biết đến? (MA) - các NH tiếp theo",,
Q1Q2. Total aided awareness,Total Awareness,Vui lòng chọn tất cả những nhãn hiệu trà uống liền nào sau đây bạn biết đến? (MA) - Nhận biết có gợi ý,,
Q3,P3M Usage,Những nhãn hiệu trà uống liền nào mà bạn đã sử dụng trong 3 tháng qua? (MA),,
Q4,P4W Usage,Những nhãn hiệu trà uống liền nào mà bạn đã sử dụng trong 4 tuần qua? (MA),,
Q5,BUMO,Nhãn hiệu trà uống liền nào bạn đã sử dụng thường xuyên nhất trong 4 tuần qua?,,
Q6,Usage frequency,Mức độ sử dụng thường xuyên của từng nhãn hiệu trà uống liền mà bạn có uống trong 4 tuần qua?,,
Q7,Previous BUMO,Nhãn hiệu trà uống liền bạn đã sử dụng thường xuyên nhất trước khi dùng [insert brand text in Q5]? ,,
Q4Q8,Consideration set,Nhãn hiệu cân nhắc,,
QI,Imagery,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp) ",,
,,,Những thương hiệu được ưa chuộng và phổ biến,R1
,,,Bao bì có thiết kế thu hút,R2
,,,Nhãn hiệu đáng tin cậy ,R3
,,,Giá cả hợp lý với chất lượng mang lại,R4
,,,Phù hợp để thưởng thức hàng ngày,R5
,,,Làm dịu cơn khát,R6
,,,Vị ngon mà tôi yêu thích,R7
,,,"Thương hiệu mang tính hiện đại, trẻ trung",R8
,,,Sản xuất từ nguyên liệu tự nhiên,R10
,,,Mang đến sự vui tươi và lạc quan,R14
,,,Có lợi cho sức khỏe,R15
,,,Giúp giảm căng thẳng và mệt mỏi,R17
,,,Mang lại cảm giác thư giãn,R18
,,,Giải nhiệt cuộc sống,R20
,,,Tạo cảm giác sảng khoái,R21
,,,Tái tạo năng lượng,R25
,,,Có nhiều vị để lựa chọn,R27
,,,Mang đến cảm giác tươi mát,R24
Q.ME2,Barrier to consider,"Trong số những lý do bên dưới, lý do nào khiến bạn không cân nhắc mua nhãn hiệu..... ",,
,,C2,Không thích vị/ hương vị không ngon,1
,,Không độ,Do not like the flavor/The flavor do not taste good,
,,Olong Tea Plus,Không tốt/ không có lợi cho sức khỏe,2
,,Dr. Thanh,Unhealthy,
,,Wonderfarm,Không tin tưởng vào chất lượng sản phẩm,3
,,Trà Hạt Chia Fuze Tea+,Do not trust in product quality,
,,Trà sữa không độ/ Trà sữa Macchiato,Giá mắc hơn mức tôi muốn mua,4
,,Trà sữa C2,Expensive than I expected ,
,,Trà sữa ít đường Vinamilk Happy Milktea (3000),Giá quá rẻ,5
,,Trà mật ong Boncha,Too cheap,
,,,Không có hương vị mà tôi thích ,6
,,,Does not have the flavors that I like,
,,,Không có loại bao bì tôi cần (lon/chai) (ghi rõ ….) ,7
,,,Does not have a packaging that I need (specify: ….),
,,,Có chứa nhiều đường hơn mức tôi cần,8
,,,Has higher sugar than I needed,
,,,Thường không có khuyến mãi trong khi nhãn hiệu khác có,9
,,,Usually do not have sale promotion while other brands have,
,,,Không thích người khác thấy tôi uống/mua nhãn hiệu này,10
,,,Do not want other people see when I drink/buy this brand,
,,,Nhãn hiệu không nổi tiếng/ ít người uống,11
,,,Unpopular brands,
,,,Không thích kiểu thiết kế bao bì hiện tại,12
,,,Do not like recent packaging designs,
,,,"Không sang trọng, cao cấp như tôi cần",13
,,,"Does not elegant, premium ",
,,,Hỏi mua nhưng không có bán ở cửa hàng,14
,,,Asked but the store does not sell it,
,,,Thường không có ướp lạnh sẵn ở cửa hàng,15
,,,Not preserved in cool place,
,,,"Nguyên nhân khác, (ghi rõ:………)",97
,,,Others: (Specify:….),
Q.TP1,MEDIA CHANNEL,"Trong 3 tháng vừa qua, bạn thấy nhãn hiệu bên dưới qua những kênh nào? [MA]",,
,,,"Quảng cáo trên Tivi (Quảng cáo, tài trợ gameshow/truyền hình thực tế)",1
,,,Advertising on TV,
,,,"Quảng cáo trên mạng internet (trang mạng, Facebook, Youtube,..)",2
,,,"Advertising on Internet (website, Facebook, YouTube, etc)",
,,,"Bảng quảng cáo ngoài trời (2 bên đường, ở trên các tòa nhà)",4
,,,"Outdoor billboard (2 side of the streets, on the building)",
,,,"Quảng cáo dán trên các phương tiện giao thông (xe buýt, xe ôtô)",5
,,,"Transportation display (bus, car wrap)",
,,,Quảng cáo trên màn hình LCD/khung quảng cáo điện tử trong các tòa nhà,6
,,,Advertising on the LCD/ad frame in the office building  ,
,,,Sự kiện tài trợ cho các hoạt động/ lễ hội ngoài trời của nhãn hiệu,7
,,,Events/ Activations,
,,,"Sản phẩm trưng bày tại các cửa hàng, siêu thị,…",8
,,,"Product display in stores, supermarket, …",
,,,Áp phích tại cửa hàng,9
,,,Poster in stores,
,,,Quảng cáo trên bảng hiệu/ hộp đèn tại quán/ cửa hàng,10
,,,"Khuyến mãi ở các cửa hàng, siêu thị,…",11
,,,"Promotion in stores, supermarket, …",
,,,Được giới thiệu từ nhân viên tiếp thị/PG,12
,,,Marketing staff/ PG,
,,,Được giới thiệu từ người bán,13
,,,Recommended by seller,
,,,Được giới thiệu từ bạn bè/người thân,14
,,,Recommended by friends/relatives,
,,,Thấy người khác sử dụng,15
,,,Seeing others use,
,,,Nhận được sản phẩm mẫu/ dùng thử miễn phí,16
,,,Sampling/ Free sample trial,
,,,Quảng cáo trên báo/ tạp chí,17
,,,"Advertising on Newspaper, magazines",
,,,Quảng cáo trên radio,18
,,,Advertising on radio ,
,,,Không có hoạt động nào ở trên,99
,,,None of these,
Q.TP2,PURCHASED CHANNEL,"Với những nhãn hiệu dưới đây, lần mua gần đây nhất của bạn là ở đâu? [SA]",,
,,,Siêu thị,1
,,,Supermarket ,
,,,Cửa hàng tạp hoá,2
,,,Grocery Shop,
,,,Cửa hàng tiện lợi,4
,,,Convienient store,
,,,Chợ,5
,,,Market,
,,,Quán cà phê/quán nước bên đường,6
,,,Coffee shop/ Beverage street vendor,
,,,Quán ăn/nhà hàng,7
,,,Eatery place/restaurant,
,,,Căn-tin,8
,,,Carteen,
,,,Các trang web bán hàng online,9
,,,E-commerce website,
,,,Quầy bán hàng tự động,10
,,,Vending machine,
,,,"Khác, ghi rõ: …………….",97
,,,Other (specify): …………….,
Q.TP3,OCCASION,Bạn uống những nhãn hiệu sau trong thời gian gần đây nhất là vào dịp nào? [SA],,
,,,Khi đi ngoài trời nắng,1
,,,When outside,
,,,Khi đi chơi/dã ngoại cùng bạn bè/gia đình,2
,,,When hanging out with friends/family,
,,,Khi tụ tập ăn uống/ăn tiệc cùng bạn bè/gia đình,4
,,,When having meals/party with friends/family,
,,,Khi nghỉ giải lao sau giờ học/làm việc,5
,,,When taking a break after school/work ,
,,,Khi đang ăn,6
,,,When having meals,
,,,"Khi đang thư giãn/giải trí tại nhà (nghe nhạc, xem phim, xem TV,…)",7
,,,"When entertaining at home (Listen to music, watch movie, watch TV,…)",
,,,"Khi đi xem phim/nghe nhạc kịch,…",8
,,,When watch movie/ attend music concert,
,,,Sau khi tham gia hoạt động thể thao/ ngoại khóa,9
,,,After doing sport,
,,,Sau khi uống rượu bia/,10
,,,After consuming beer/ alcohol,
,,,"Khác, ghi rõ: …………….",97
,,,Other (specify): …………….,
D6,OCCUPATION ,Nghề nghiệp/chức vụ hiện nay của bạn là gì?,,
,,,Chủ công ty/doanh nghiệp lớn,1
,,,Owner (large business),
,,,Chủ cửa hàng/chủ cơ sở kinh doanh nhỏ (có đóng thuế và có cơ sở làm việc/ kinh doanh cố định),2
,,,Owner (small busisness),
,,,Công chức nhà nước (nói chung),3
,,,Public sector office worker,
,,,"Công việc chuyên môn (bác sĩ, kỹ sư, giáo viên, luật sư ...)",4
,,,Professional,
,,,Nhân viên văn phòng (cấp quản lý),5
,,,White Collar (Managerial level and above),
,,,Nhân viên văn phòng (cấp nhân viên),6
,,,White Collar (Junior level),
,,," Công nhân cấp nhân viên (làm ở nhà máy/ xí nghiệp/ công ty sản xuất, v.v.)",7
,,,Blue Collar/ Worker,
,,," Ngành nghề chuyên môn cao (trưởng nhóm vận hành, giám sát, kỹ thuật viên, thợ cơ khí, thợ điện lạnh, thợ điện, v.v)",13
,,,Technician,
