question_code,sub_code,question_text,answer_text,answer_code
Wave,,Năm thực hiện PV,,
Region,,Khu vực thực hiện PV,,
D2,,Giới tính,,
D3,,Độ tuổi,,
D4,,Thu nhập hộ gia đình,,
S2,,Những loại sản phẩm nào bạn đã uống trong 4 tuần qua?,,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Hằng ngày,1
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Once per day,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],4-6 lần mỗi tuần,2
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],4-6 times/week,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],2-3 lần mỗi tuần,3
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],2-3 times/week,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Một lần một tuần,4
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Once per week,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],2-3 lần một tháng,5
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],2-3 times/month,
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Mỗi tháng một lần,6
S3b,,Bạn uống trà uống liền (đóng chai/lon/hộp) với mức độ thường xuyên như thế nào trong 4 tuần qua? [SA],Once per month,
Q1.TOM,TOM,"Khi nhắc đến trà uống liền (đóng chai/lon/hộp), những nhãn hiệu nào mà bạn biết đến? (SA) - NH đầu tiên",,
Q1.TotalSpontaneous,Spontaneous,"Khi nhắc đến trà uống liền (đóng chai/lon/hộp), những nhãn hiệu nào mà bạn biết đến? (MA) - các NH tiếp theo",,
Q1Q2. Total aided awareness,Total Awareness,Vui lòng chọn tất cả những nhãn hiệu trà uống liền nào sau đây bạn biết đến? (MA) - Nhận biết có gợi ý,,
Q3,P3M Usage,Những nhãn hiệu trà uống liền nào mà bạn đã sử dụng trong 3 tháng qua? (MA),,
Q4,P4W Usage,Những nhãn hiệu trà uống liền nào mà bạn đã sử dụng trong 4 tuần qua? (MA),,
Q5,BUMO,Nhãn hiệu trà uống liền nào bạn đã sử dụng thường xuyên nhất trong 4 tuần qua?,,
Q6,Usage frequency,Mức độ sử dụng thường xuyên của từng nhãn hiệu trà uống liền mà bạn có uống trong 4 tuần qua?,,
Q7,Previous BUMO,Nhãn hiệu trà uống liền bạn đã sử dụng thường xuyên nhất trước khi dùng [insert brand text in Q5]?,,
Q4Q8,Consideration set,Nhãn hiệu cân nhắc,,
QI,Imagery,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",,
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Những thương hiệu được ưa chuộng và phổ biến,R1
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Bao bì có thiết kế thu hút,R2
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Nhãn hiệu đáng tin cậy,R3
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Giá cả hợp lý với chất lượng mang lại,R4
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Phù hợp để thưởng thức hàng ngày,R5
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Làm dịu cơn khát,R6
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Vị ngon mà tôi yêu thích,R7
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)","Thương hiệu mang tính hiện đại, trẻ trung",R8
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Sản xuất từ nguyên liệu tự nhiên,R10
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Mang đến sự vui tươi và lạc quan,R14
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Có lợi cho sức khỏe,R15
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Giúp giảm căng thẳng và mệt mỏi,R17
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Mang lại cảm giác thư giãn,R18
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Giải nhiệt cuộc sống,R20
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Tạo cảm giác sảng khoái,R21
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Tái tạo năng lượng,R25
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Có nhiều vị để lựa chọn,R27
QI,,"Bạn hãy đọc kỹ nhận định bên dưới, và chọn tất cả những nhãn hiệu bạn thấy phù hợp (hoặc chọn Không có nếu không có nhãn hiệu nào phù hợp)",Mang đến cảm giác tươi mát,R24
Q.ME2,Barrier to consider,"Trong số những lý do bên dưới, lý do nào khiến bạn không cân nhắc mua nhãn hiệu.....",,
Q.ME2,,C2,Không thích vị/ hương vị không ngon,1
Q.ME2,,Không độ,Do not like the flavor/The flavor do not taste good,
Q.ME2,,Olong Tea Plus,Không tốt/ không có lợi cho sức khỏe,2
Q.ME2,,Dr. Thanh,Unhealthy,
Q.ME2,,Wonderfarm,Không tin tưởng vào chất lượng sản phẩm,3
Q.ME2,,Trà Hạt Chia Fuze Tea+,Do not trust in product quality,
Q.ME2,,Trà sữa không độ/ Trà sữa Macchiato,Giá mắc hơn mức tôi muốn mua,4
Q.ME2,,Trà sữa C2,Expensive than I expected,
Q.ME2,,Trà sữa ít đường Vinamilk Happy Milktea (3000),Giá quá rẻ,5
Q.ME2,,Trà mật ong Boncha,Too cheap,
Q.ME2,,Trà mật ong Boncha,Không có hương vị mà tôi thích,6
Q.ME2,,Trà mật ong Boncha,Does not have the flavors that I like,
Q.ME2,,Trà mật ong Boncha,Không có loại bao bì tôi cần (lon/chai) (ghi rõ ….),7
Q.ME2,,Trà mật ong Boncha,Does not have a packaging that I need (specify: ….),
Q.ME2,,Trà mật ong Boncha,Có chứa nhiều đường hơn mức tôi cần,8
Q.ME2,,Trà mật ong Boncha,Has higher sugar than I needed,
Q.ME2,,Trà mật ong Boncha,Thường không có khuyến mãi trong khi nhãn hiệu khác có,9
Q.ME2,,Trà mật ong Boncha,Usually do not have sale promotion while other brands have,
Q.ME2,,Trà mật ong Boncha,Không thích người khác thấy tôi uống/mua nhãn hiệu này,10
Q.ME2,,Trà mật ong Boncha,Do not want other people see when I drink/buy this brand,
Q.ME2,,Trà mật ong Boncha,Nhãn hiệu không nổi tiếng/ ít người uống,11
